Date,Open,High,Low,Close,Adj Close,Volume,Gics
2017-04-06,832.400024,836.390015,826.460022,827.880005,827.880005,1254400,4
2017-04-07,827.960022,828.484985,820.513,824.669983,824.669983,1057300,4
2017-04-10,825.390015,829.349976,823.77002,824.72998,824.72998,978900,4
2017-04-11,824.710022,827.427002,817.02002,823.349976,823.349976,1079700,4
2017-04-12,821.929993,826.659973,821.02002,824.320007,824.320007,900500,4
2017-04-13,822.140015,826.380005,821.440002,823.559998,823.559998,1122400,4
2017-04-17,825.01001,837.75,824.469971,837.169983,837.169983,895000,4
2017-04-18,834.219971,838.929993,832.710022,836.820007,836.820007,836700,4
2017-04-19,839.789978,842.219971,836.289978,838.210022,838.210022,954200,4
2017-04-20,841.440002,845.200012,839.320007,841.650024,841.650024,959000,4
2017-04-21,842.880005,843.880005,840.599976,843.190002,843.190002,1323600,4
2017-04-24,851.200012,863.450012,849.859985,862.76001,862.76001,1372500,4
2017-04-25,865.0,875.0,862.809998,872.299988,872.299988,1672000,4
2017-04-26,874.22998,876.049988,867.747986,871.72998,871.72998,1237200,4
2017-04-27,873.599976,875.400024,870.380005,874.25,874.25,2026800,4
2017-04-28,910.659973,916.849976,905.77002,905.960022,905.960022,3276300,4
2017-05-01,901.940002,915.679993,901.450012,912.570007,912.570007,2116000,4
2017-05-02,909.619995,920.77002,909.453003,916.440002,916.440002,1587200,4
2017-05-03,914.859985,928.099976,912.54303,927.039978,927.039978,1499500,4
2017-05-04,926.070007,935.929993,924.590027,931.659973,931.659973,1422100,4
2017-05-05,933.539978,934.900024,925.200012,927.130005,927.130005,1911300,4
2017-05-08,926.119995,936.924988,925.26001,934.299988,934.299988,1329800,4
2017-05-09,936.950012,937.5,929.530029,932.169983,932.169983,1581800,4
2017-05-10,931.97998,932.0,925.159973,928.780029,928.780029,1173900,4
2017-05-11,925.320007,932.530029,923.030029,930.599976,930.599976,835000,4
2017-05-12,931.530029,933.440002,927.849976,932.219971,932.219971,1050600,4
2017-05-15,932.950012,938.25,929.340027,937.080017,937.080017,1108100,4
2017-05-16,940.0,943.109985,937.580017,943.0,943.0,969500,4
2017-05-17,935.669983,939.333008,918.140015,919.619995,919.619995,2362100,4
2017-05-18,921.0,933.169983,918.75,930.23999,930.23999,1596900,4
2017-05-19,931.469971,937.755005,931.0,934.01001,934.01001,1393000,4
2017-05-22,935.0,941.882996,935.0,941.859985,941.859985,1120400,4
2017-05-23,947.919983,951.46698,942.575012,948.820007,948.820007,1270800,4
2017-05-24,952.97998,955.090027,949.5,954.960022,954.960022,1024800,4
2017-05-25,957.330017,972.629028,955.469971,969.539978,969.539978,1660500,4
2017-05-26,969.700012,974.97998,965.030029,971.469971,971.469971,1252000,4
2017-05-30,970.309998,976.200012,969.48999,975.880005,975.880005,1466700,4
2017-05-31,975.02002,979.27002,960.179993,964.859985,964.859985,2448100,4
2017-06-01,968.950012,971.5,960.01001,966.950012,966.950012,1410500,4
2017-06-02,969.460022,975.880005,966.0,975.599976,975.599976,1751000,4
2017-06-05,976.549988,986.909973,975.099976,983.679993,983.679993,1252100,4
2017-06-06,983.159973,988.25,975.140015,976.570007,976.570007,1814600,4
2017-06-07,980.0,983.97998,975.940002,980.940002,980.940002,1453900,4
2017-06-08,982.349976,984.570007,977.200012,983.409973,983.409973,1481900,4
2017-06-09,984.5,984.5,935.630005,949.830017,949.830017,3309400,4
2017-06-12,939.559998,949.35498,915.232971,942.900024,942.900024,3763500,4
2017-06-13,951.909973,959.97998,944.090027,953.400024,953.400024,2013300,4
2017-06-14,959.919983,961.150024,942.25,950.76001,950.76001,1489700,4
2017-06-15,933.969971,943.338989,924.440002,942.309998,942.309998,2133100,4
2017-06-16,940.0,942.039978,931.594971,939.780029,939.780029,3094700,4
2017-06-19,949.960022,959.98999,949.049988,957.369995,957.369995,1533300,4
2017-06-20,957.52002,961.619995,950.01001,950.630005,950.630005,1126000,4
2017-06-21,953.640015,960.099976,950.76001,959.450012,959.450012,1202200,4
2017-06-22,958.700012,960.719971,954.549988,957.090027,957.090027,941400,4
2017-06-23,956.830017,966.0,954.200012,965.590027,965.590027,1527900,4
2017-06-26,969.900024,973.309998,950.789978,952.27002,952.27002,1598400,4
2017-06-27,942.460022,948.289978,926.849976,927.330017,927.330017,2579900,4
2017-06-28,929.0,942.75,916.0,940.48999,940.48999,2721400,4
2017-06-29,929.919983,931.26001,910.619995,917.789978,917.789978,3299200,4
2017-06-30,926.049988,926.049988,908.309998,908.72998,908.72998,2090200,4
