Date,Open,High,Low,Close,Adj Close,Volume,Gics
2008-07-14,268.493622,269.021637,256.762604,259.83606,259.83606,8882700,4
2008-07-15,257.176056,262.765106,249.61438,257.08139,257.08139,12187400,4
2008-07-16,256.060211,267.248291,254.346649,266.799957,266.799957,9519800,4
2008-07-17,266.082672,267.522247,261.270691,265.723999,265.723999,17640500,4
2008-07-18,248.244522,248.55835,238.202164,239.761322,239.761322,22669300,4
2008-07-21,239.542145,241.141144,231.980484,233.524689,233.524689,11847200,4
2008-07-22,232.488571,239.228317,231.930664,237.664169,237.664169,9418000,4
2008-07-23,239.905777,247.686615,238.157333,243.696564,243.696564,9824800,4
2008-07-24,247.422592,247.507278,236.921951,236.921951,236.921951,7108200,4
2008-07-25,242.33667,245.644272,239.850983,245.071411,245.071411,6390700,4
2008-07-28,245.126205,245.126205,236.677872,237.669159,237.669159,6343600,4
2008-07-29,238.755081,242.72023,238.107513,240.652969,240.652969,5626600,4
2008-07-30,241.843506,242.102539,235.522202,240.448746,240.448746,7007400,4
2008-07-31,236.393936,239.547119,234.839767,235.990448,235.990448,5751600,4
2008-08-01,235.372772,235.72644,230.386459,233.056442,233.056442,6038300,4
2008-08-04,233.185959,235.621826,230.08757,230.635529,230.635529,4992500,4
2008-08-05,232.921951,239.143631,232.294312,239.029068,239.029068,7195800,4
2008-08-06,238.291824,243.970535,235.372772,242.261948,242.261948,6776800,4
2008-08-07,240.100052,241.096313,237.315491,238.665421,238.665421,5568300,4
2008-08-08,239.178497,246.949371,236.956833,246.58075,246.58075,7506500,4
2008-08-11,245.315491,253.489853,244.971786,249.484863,249.484863,8510300,4
2008-08-12,250.062698,252.119995,248.070175,250.366562,250.366562,5532000,4
2008-08-13,249.863449,250.829834,246.017868,249.081375,249.081375,7278100,4
2008-08-14,247.920731,252.857224,247.218369,251.801193,251.801193,5859000,4
2008-08-15,252.548386,254.376541,251.806168,254.122482,254.122482,7117800,4
2008-08-18,253.968063,254.04776,246.829819,248.219604,248.219604,6692700,4
2008-08-19,244.299301,248.209656,242.406403,244.334183,244.334183,6115700,4
2008-08-20,246.436295,247.417618,240.383987,241.594452,241.594452,7993900,4
2008-08-21,240.558334,244.035294,238.740143,242.356583,242.356583,7054500,4
2008-08-22,244.832306,246.515991,243.82608,244.379013,244.379013,4611500,4
2008-08-25,242.147369,247.572037,239.850983,240.603165,240.603165,4043600,4
2008-08-26,240.827316,240.827316,234.416351,236.194687,236.194687,6641100,4
2008-08-27,235.980484,236.528427,231.552094,233.4151,233.4151,8807000,4
2008-08-28,235.362808,237.335403,234.286835,236.005386,236.005386,6082000,4
2008-08-29,233.997925,234.625565,230.301773,230.779984,230.779984,7725100,4
2008-09-02,237.494812,240.189713,229.848465,231.756317,231.756317,12268700,4
2008-09-03,233.489822,236.259445,228.9319,231.337891,231.337891,8661500,4
2008-09-04,229.141129,230.755066,223.860916,224.289307,224.289307,9733200,4
2008-09-05,221.913208,225.385208,219.218323,221.295532,221.295532,9102500,4
2008-09-08,225.166016,225.624298,207.995377,209.190903,209.190903,18103300,4
2008-09-09,210.794891,215.38269,206.725143,208.548309,208.548309,14513300,4
2008-09-10,211.442459,211.447449,204.075073,206.306717,206.306717,12500200,4
2008-09-11,203.412567,216.732635,202.431244,216.06514,216.06514,12991200,4
2008-09-12,214.301743,220.169754,213.699005,218.012833,218.012833,12101100,4
2008-09-15,211.208344,220.15979,211.063873,216.119934,216.119934,13183900,4
2008-09-16,212.184677,223.801132,211.950562,220.638,220.638,14033700,4
2008-09-17,218.42131,218.750076,205.948059,206.4711,206.4711,18322100,4
2008-09-18,210.530884,218.769989,204.483551,218.720184,218.720184,17243100,4
2008-09-19,229.639252,230.172256,220.812347,223.736374,223.736374,20086900,4
2008-09-22,226.217087,226.217087,213.699005,214.266876,214.266876,8847600,4
2008-09-23,215.816071,219.571991,212.065125,213.833496,213.833496,10447400,4
2008-09-24,214.366501,221.669128,214.251938,216.742599,216.742599,8515700,4
2008-09-25,218.600632,224.15979,217.175964,218.979218,218.979218,10078100,4
2008-09-26,213.200867,217.763763,209.728882,214.715195,214.715195,10624500,4
2008-09-29,208.971725,210.964249,189.644165,189.78862,189.78862,21606400,4
2008-09-30,197.250656,211.746323,195.42749,199.512177,199.512177,6195600,4
2008-10-01,204.807327,207.711441,200.797363,205.091263,205.091263,12516200,4
2008-10-02,204.129868,204.224518,192.279297,194.5159,194.5159,12014500,4
2008-10-03,197.933105,205.479813,190.819763,192.73259,192.73259,16045600,4
2008-10-06,186.291733,187.292984,177.913132,184.911911,184.911911,22525200,4
