Date,Open,High,Low,Close,Adj Close,Volume,Gics
2012-10-26,87.061432,87.714287,84.428574,86.285713,75.39962,254608200,3
2012-10-31,84.982857,85.994286,83.957146,85.045715,74.316071,127500800,3
2012-11-01,85.459999,86.14286,84.881432,85.220001,74.468384,90324500,3
2012-11-02,85.127144,85.278572,82.10714,82.400002,72.00412,149843400,3
2012-11-05,83.360001,83.96714,82.514282,83.517143,72.980354,132283900,3
2012-11-06,84.318573,84.391426,82.870003,83.264282,72.759407,93729300,3
2012-11-07,81.977142,82.077141,79.39286,79.714287,69.975441,198412200,3
2012-11-08,80.089996,80.318573,76.470001,76.821426,67.435959,264036500,3
2012-11-09,77.202858,79.26857,76.245712,78.151428,68.6035,232478400,3
2012-11-12,79.164284,79.214287,76.949997,77.547142,68.073044,128950500,3
2012-11-13,76.987144,78.639999,76.622856,77.557144,68.08181,133237300,3
2012-11-14,77.928574,78.207146,76.597145,76.697144,67.326889,119292600,3
2012-11-15,76.790001,77.071426,74.660004,75.08857,65.914833,197477700,3
2012-11-16,75.028572,75.714287,72.25,75.382858,66.173149,316723400,3
2012-11-19,77.244286,81.071426,77.125717,80.818573,70.944801,205829400,3
2012-11-20,81.701431,81.707146,79.225716,80.129997,70.340355,160688500,3
2012-11-21,80.60714,81.052856,79.514282,80.242859,70.439415,93250500,3
2012-11-23,81.024284,81.714287,80.371429,81.64286,71.668404,68206600,3
2012-11-26,82.271431,84.285713,81.958572,84.218575,73.929398,157644900,3
2012-11-27,84.221428,84.345711,82.871429,83.540001,73.33374,133332500,3
2012-11-28,82.46714,83.685715,81.751427,83.277145,73.103004,130216100,3
2012-11-29,84.317146,84.89286,83.60714,84.194283,73.908081,128674700,3
2012-11-30,83.827141,84.057144,83.239998,83.611427,73.396439,97829900,3
2012-12-03,84.807144,84.941429,83.64286,83.741432,73.510567,91070000,3
2012-12-04,83.114288,83.114288,81.732857,82.264282,72.213882,139267100,3
2012-12-05,81.272858,81.321426,76.96714,76.970001,67.566399,261159500,3
2012-12-06,75.562859,79.044289,74.089996,78.177139,68.626076,294303100,3
2012-12-07,79.057144,79.314285,75.714287,76.178574,66.871666,196760200,3
2012-12-10,75.0,76.93,74.511429,75.688568,66.441528,157621100,3
2012-12-11,77.110001,78.508568,76.767143,77.341431,67.892464,148086400,3
2012-12-12,78.252853,78.285713,76.610001,77.0,67.592758,121786000,3
2012-12-13,75.878571,76.805717,75.114288,75.669998,66.425201,156314900,3
2012-12-14,73.535713,74.01857,72.225716,72.827141,63.92968,252394800,3
2012-12-17,72.704285,74.285713,71.604286,74.118568,65.063339,189401800,3
2012-12-18,75.0,76.414284,74.321426,76.271431,66.953171,156421300,3
2012-12-19,75.924286,76.242859,75.071426,75.187141,66.001366,112342300,3
2012-12-20,75.714287,75.742859,74.125717,74.53286,65.426994,120422400,3
2012-12-21,73.209999,74.238571,72.891426,74.190002,65.126045,149067100,3
2012-12-24,74.335716,74.89286,74.101425,74.309998,65.231392,43938300,3
2012-12-26,74.14286,74.208572,73.017143,73.285713,64.33223,75609100,3
2012-12-27,73.362854,73.75,72.094284,73.580002,64.590576,113780100,3
2012-12-28,72.898575,73.497147,72.58857,72.798569,63.904606,88569600,3
2012-12-31,72.932854,76.485718,72.714287,76.024284,66.736229,164873100,3
2013-01-02,79.117142,79.285713,77.375717,78.432854,68.850548,140129500,3
2013-01-03,78.26857,78.524284,77.285713,77.442856,67.981491,88241300,3
2013-01-04,76.709999,76.947144,75.118568,75.285713,66.087891,148583400,3
2013-01-07,74.571426,75.614288,73.599998,74.842857,65.699158,121039100,3
2013-01-08,75.601425,75.984283,74.464287,75.044289,65.875954,114676800,3
2013-01-09,74.64286,75.001427,73.71286,73.871429,64.84639,101901100,3
2013-01-10,75.507141,75.531425,73.645714,74.78714,65.650238,150286500,3
2013-01-11,74.428574,75.045715,74.145714,74.328575,65.247704,87626700,3
2013-01-14,71.811432,72.5,71.215714,71.678574,62.921452,183551900,3
2013-01-15,71.185715,71.284286,69.054283,69.417145,60.936287,219193100,3
2013-01-16,70.662857,72.777145,70.35714,72.298569,63.465691,172701200,3
2013-01-17,72.901428,72.964287,71.718575,71.811432,63.038078,113419600,3
2013-01-18,71.21714,71.745712,70.914284,71.428574,62.701996,118230700,3
2013-01-22,72.080002,72.554283,70.947144,72.110001,63.300167,115386600,3
2013-01-23,72.687141,73.57,72.110001,73.43,64.458878,215377400,3
2013-01-24,65.714287,66.53286,64.321426,64.35714,56.49448,365213100,3
2013-01-25,64.527145,65.175713,62.142857,62.84,55.162701,302006600,3
