Symbol,From,To
C,1988-05-31,2020-02-04
NKE,1988-11-30,2020-02-04
ECL,1989-01-31,2020-02-04
GL,1989-04-30,2020-02-04
NWL,1989-04-30,2020-02-04
ORCL,1989-08-31,2020-02-04
ADSK,1989-12-01,2020-02-04
MRO,1991-05-01,2020-02-04
AEE,1991-09-19,2020-02-04
AMGN,1992-01-02,2020-02-04
LIN,1992-07-01,2020-02-04
IPG,1992-10-01,2020-02-04
COST,1993-10-01,2020-02-04
CSCO,1993-12-01,2020-02-04
EMN,1994-01-01,2020-02-04
KEY,1994-03-01,2020-02-04
UNM,1994-03-01,2020-02-04
MSFT,1994-06-01,2020-02-04
LUV,1994-07-01,2020-02-04
UNH,1994-07-01,2020-02-04
MU,1994-09-27,2020-02-04
BSX,1995-02-24,2020-02-04
AMAT,1995-03-16,2020-02-04
BK,1995-03-31,2020-02-04
ALL,1995-07-13,2020-02-04
CMA,1995-12-01,2020-02-04
AON,1996-04-23,2020-02-04
AZO,1997-01-02,2020-02-04
ADBE,1997-05-05,2020-02-04
CAH,1997-05-27,2020-02-04
SCHW,1997-06-02,2020-02-04
EFX,1997-06-19,2020-02-04
APA,1997-07-28,2020-02-04
PGR,1997-08-04,2020-02-04
YUM,1997-10-06,2020-02-04
TFC,1997-12-04,2020-02-04
CINF,1997-12-18,2020-02-04
COF,1998-07-01,2020-02-04
RF,1998-08-28,2020-02-04
AES,1998-10-02,2020-02-04
CCL,1998-12-22,2020-02-04
CTL,1999-03-25,2020-02-04
AGN,1999-04-12,2020-02-04
CMS,1999-05-03,2020-02-04
AFL,1999-05-28,2020-02-04
NTAP,1999-06-25,2020-02-04
BBY,1999-06-29,2020-02-04
VMC,1999-06-30,2020-02-04
ADI,1999-10-12,2020-02-04
XLNX,1999-11-08,2020-02-04
CTXS,1999-12-01,2020-02-04
A,2000-06-05,2020-02-04
TIF,2000-06-21,2020-02-04
DVN,2000-08-30,2020-02-04
EOG,2000-11-02,2020-02-04
INTU,2000-12-05,2020-02-04
RHI,2000-12-05,2020-02-04
SYK,2000-12-12,2020-02-04
CTAS,2001-03-01,2020-02-04
FISV,2001-04-02,2020-02-04
ZION,2001-06-22,2020-02-04
ZBH,2001-08-07,2020-02-04
ABC,2001-08-30,2020-02-04
NVDA,2001-11-30,2020-02-04
EQR,2001-12-03,2020-02-04
SPG,2002-06-26,2020-02-04
EA,2002-07-22,2020-02-04
GS,2002-07-22,2020-02-04
PFG,2002-07-22,2020-02-04
PRU,2002-07-22,2020-02-04
UPS,2002-07-22,2020-02-04
ANTM,2002-07-25,2020-02-04
TRV,2002-08-21,2020-02-04
DGX,2002-12-12,2020-02-04
AIV,2003-03-14,2020-02-04
NLOK,2003-03-25,2020-02-04
PLD,2003-07-17,2020-02-04
BIIB,2003-11-13,2020-02-04
ETFC,2004-03-31,2020-02-04
MYL,2004-04-23,2020-02-04
GILD,2004-07-01,2020-02-04
LH,2004-11-01,2020-02-04
NOV,2005-03-14,2020-02-04
STZ,2005-07-01,2020-02-04
PSA,2005-08-19,2020-02-04
AMP,2005-10-03,2020-02-04
LEN,2005-10-04,2020-02-04
AMZN,2005-11-18,2020-02-04
EL,2006-01-05,2020-02-04
VRSN,2006-02-01,2020-02-04
GOOG,2006-04-03,2020-02-04
BXP,2006-04-03,2020-02-04
KIM,2006-04-04,2020-02-04
CME,2006-08-11,2020-02-04
CBRE,2006-11-10,2020-02-04
FIS,2006-11-10,2020-02-04
CTSH,2006-11-17,2020-02-04
AVB,2007-01-10,2020-02-04
RL,2007-02-02,2020-02-04
VAR,2007-02-12,2020-02-04
CHRW,2007-03-02,2020-02-04
HST,2007-03-20,2020-02-04
AIZ,2007-04-10,2020-02-04
DFS,2007-07-02,2020-02-04
AKAM,2007-07-12,2020-02-04
MCHP,2007-09-07,2020-02-04
ICE,2007-09-26,2020-02-04
EXPE,2007-10-02,2020-02-04
NBL,2007-10-08,2020-02-04
EXPD,2007-10-10,2020-02-04
J,2007-10-26,2020-02-04
AMT,2007-11-19,2020-02-04
PEAK,2008-03-31,2020-02-04
PM,2008-03-31,2020-02-04
ISRG,2008-06-02,2020-02-04
COG,2008-06-23,2020-02-04
MA,2008-07-18,2020-02-04
DVA,2008-07-31,2020-02-04
IVZ,2008-08-21,2020-02-04
CF,2008-08-27,2020-02-04
CRM,2008-09-15,2020-02-04
PXD,2008-09-24,2020-02-04
APH,2008-09-30,2020-02-04
FLS,2008-10-02,2020-02-04
NDAQ,2008-10-22,2020-02-04
WEC,2008-10-31,2020-02-04
SJM,2008-11-06,2020-02-04
PBCT,2008-11-13,2020-02-04
XRAY,2008-11-14,2020-02-04
WYNN,2008-11-14,2020-02-04
RSG,2008-12-05,2020-02-04
FLIR,2009-01-02,2020-02-04
IRM,2009-01-06,2020-02-04
WELL,2009-01-30,2020-02-04
HRL,2009-03-04,2020-02-04
VTR,2009-03-04,2020-02-04
ORLY,2009-03-27,2020-02-04
FTI,2009-06-05,2020-02-04
PWR,2009-07-01,2020-02-04
WDC,2009-07-01,2020-02-04
FMC,2009-08-19,2020-02-04
FAST,2009-09-15,2020-02-04
BKNG,2009-11-06,2020-02-04
ROST,2009-12-21,2020-02-04
V,2009-12-21,2020-02-04
ROP,2009-12-23,2020-02-04
NRG,2010-01-29,2020-02-04
BRK.B,2010-02-16,2020-02-04
DISCA,2010-03-01,2020-02-04
HP,2010-03-01,2020-02-04
OKE,2010-03-15,2020-02-04
CERN,2010-04-30,2020-02-04
KMX,2010-06-28,2020-02-04
CB,2010-07-15,2020-02-04
JCI,2010-08-27,2020-02-04
IR,2010-11-17,2020-02-04
FFIV,2010-12-20,2020-02-04
NFLX,2010-12-20,2020-02-04
EW,2011-04-01,2020-02-04
BLK,2011-04-04,2020-02-04
CMG,2011-04-28,2020-02-04
MPC,2011-07-01,2020-02-04
ACN,2011-07-06,2020-02-04
MOS,2011-09-26,2020-02-04
TEL,2011-10-17,2020-02-04
XYL,2011-11-01,2020-02-04
BWA,2011-12-19,2020-02-04
DLTR,2011-12-19,2020-02-04
PRGO,2011-12-19,2020-02-04
CCI,2012-03-14,2020-02-04
PSX,2012-05-01,2020-02-04
ALXN,2012-05-25,2020-02-04
KMI,2012-05-25,2020-02-04
MNST,2012-06-28,2020-02-04
LRCX,2012-06-29,2020-02-04
STX,2012-07-02,2020-02-04
LYB,2012-09-05,2020-02-04
PNR,2012-10-01,2020-02-04
MDLZ,2012-10-02,2020-02-04
DG,2012-12-03,2020-02-04
GRMN,2012-12-12,2020-02-04
APTV,2012-12-24,2020-02-04
ABBV,2012-12-31,2020-02-04
PVH,2013-02-15,2020-02-04
REGN,2013-05-01,2020-02-04
KSU,2013-05-24,2020-02-04
GM,2013-06-06,2020-02-04
ZTS,2013-06-21,2020-02-04
FOXA,2013-07-01,2020-02-04
NLSN,2013-07-09,2020-02-04
NWSA,2013-08-01,2020-02-04
DAL,2013-09-11,2020-02-04
AME,2013-09-23,2020-02-04
VRTX,2013-09-23,2020-02-04
CPRI,2013-11-13,2020-02-04
ALLE,2013-12-02,2020-02-04
ADS,2013-12-23,2020-02-04
FB,2013-12-23,2020-02-04
MHK,2013-12-23,2020-02-04
TSCO,2014-01-24,2020-02-04
ESS,2014-04-02,2020-02-04
GOOGL,2014-04-03,2020-02-04
UA,2014-05-01,2020-02-04
AVGO,2014-05-08,2020-02-04
XEC,2014-06-21,2020-02-04
